,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
2982,2016,HND,901742,1021728,Victoria ,2,2,52,6,0,,2,205.0,,,8.405000000000001
2983,2015,HND,901742,1021728,las vegas,1,1,42,6,0,,2,12.3,2.0,236.16,0.5043000000000001
2984,2014,HND,901742,1021728,las vegas,1,2,74,6,1,,2,6.15,2.0,82.0,0.25215000000000004
2985,2013,HND,901742,1021728,las vegas,1,1,46,5,0,,2,0.0,,,0.0
2986,2012,HND,901742,1021728,las vegas,1,1,26,3,0,,2,0.0,2.0,8.2,0.0
2987,2011,HND,901742,1021728,las vegas,1,1,62,4,0,,2,246.0,2.0,102.5,10.086
2988,2010,HND,901742,1021728,las vegas,1,1,61,7,0,,2,1.64,2.0,147.6,0.06724
2989,2009,HND,901742,1021728,Victoria,2,2,63,4,1,,2,0.0,2.0,307.5,0.0
2990,2008,HND,901742,1021728,Victoria,2,1,65,3,0,,2,369.0,2.0,82.0,15.129000000000001
2991,2007,HND,901742,1021728,las vegas,1,1,44,3,1,,2,205.0,,,8.405000000000001
2992,2006,HND,901742,1021728,las vegas,1,1,40,5,0,,2,110.7,,,4.5387
2993,2005,HND,901742,1021728,las vegas,1,1,20,4,1,30.0,2,32.8,2.0,410.0,1.3448
2994,2004,HND,901742,1021728,las vegas,1,1,48,4,0,,2,61.5,2.0,102.5,2.5215
2995,2003,HND,901726,1021442,Barrio las Arenas,2,1,30,6,1,,2,0.0,,,0.0
3000,1998,HND,901726,1021442,Barrio las Arenas,2,1,45,5,0,,2,246.0,2.0,328.0,10.086
3005,1993,HND,901726,1021442,Barrio las Arenas,2,1,50,4,1,,2,73.8,,,3.0258
3006,1992,HND,901742,1021721,El Lim_n,1,1,59,2,0,,2,61.5,2.0,61.5,2.5215
3007,1991,HND,901742,1021721,Guangolola 2,1,1,32,8,1,,2,0.0,2.0,123.0,0.0
3008,1990,HND,901742,1021721,Guangolola 2,1,1,37,8,99,,2,205.0,,,8.405000000000001
3009,1989,HND,901742,1021721,La Pita,2,2,27,6,1,50.0,2,61.5,,,2.5215
3010,1988,HND,901742,1021721,La Meseta,2,2,37,4,0,,2,0.0,2.0,615.0,0.0
3011,1987,HND,901726,1021442,Barrio las Arenas,2,1,37,6,1,,2,157.44,,,6.45504
3012,1986,HND,901742,1021721,La Meseta,2,1,29,5,1,100.0,2,2460.0,,,100.86
3013,1985,HND,901726,1021450,Malpaso,1,1,31,3,0,,2,8.2,,,0.3362
3014,1984,HND,901726,1021450,Malpaso,1,1,48,3,0,,2,205.0,,,8.405000000000001
3015,1983,HND,901742,1021721,Primero de Mayo,2,1,39,5,1,50.0,2,246.0,,,10.086
3016,1982,HND,901742,1021721,Guangolola 2,1,1,40,2,0,,2,82.0,2.0,82.0,3.362
3017,1981,HND,901742,1021726,Ceden ,2,2,50,2,0,,2,56.58,,,2.31978
3018,1980,HND,901742,1021726,Pueblo Nuevo ,2,1,48,6,1,,2,205.0,2.0,537.1,8.405000000000001
3019,1979,HND,901742,1021721,Primera de Mayo,2,1,22,2,0,,2,0.0,2.0,451.0,0.0
3020,1978,HND,901742,1021721,Guangolola 2,1,1,53,7,1,,2,8.2,2.0,123.0,0.3362
3021,1977,HND,901742,1021722,Arena Blanca,1,2,28,3,1,25.0,2,41.0,2.0,246.0,1.681
3125,1873,HND,901730,1021513,Cuyamel,1,1,30,3,0,,2,0.0,,,0.0
3126,1872,HND,901742,1021730,Punta Ocote,1,2,25,4,0,,2,123.0,2.0,615.0,5.043
3127,1871,HND,901742,1021730,Punta Ocote,1,2,44,4,0,,2,533.0,2.0,410.0,21.853
3128,1870,HND,901742,1021730,Punta Ocote,1,1,55,4,0,,2,2460.0,2.0,82.0,100.86
3129,1869,HND,901742,1021730,Punta Ocote,1,1,28,4,0,,2,82.0,2.0,123.0,3.362
3130,1868,HND,901742,1021730,Punta  Ocote,1,1,68,2,0,,2,20.5,,,0.8405
3131,1867,HND,901742,1021730,Punta Ocote,1,1,43,3,1,,2,287.0,2.0,82.0,11.767000000000001
