,rsp_id,country,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_health_USD,govt_ngo_help,health_top_priority
1094,3904,SLV,3,0,,30.0,0,0
1096,3902,SLV,3,0,,100.0,0,0
1097,3901,SLV,4,0,,300.0,0,0
1100,3898,SLV,3,0,,700.0,0,0
1101,3897,SLV,8,0,,600.0,0,0
1102,3896,SLV,2,1,10.0,300.0,0,1
1106,3892,SLV,3,0,,120.0,0,0
1107,3891,SLV,2,0,,100.0,0,0
1108,3890,SLV,2,0,,100.0,0,0
1114,3884,SLV,2,0,,60.0,0,0
1115,3883,SLV,2,0,,100.0,0,0
1129,3869,SLV,3,0,,200.0,0,1
1130,3868,SLV,2,0,,100.0,0,0
1131,3867,SLV,4,0,,150.0,0,0
1132,3866,SLV,3,1,,60.0,0,0
1133,3865,SLV,8,0,,70.0,0,0
1135,3863,SLV,5,1,,250.0,0,0
1136,3862,SLV,7,1,75.0,600.0,0,1
1138,3860,SLV,3,1,100.0,250.0,0,1
1139,3859,SLV,5,1,,1000.0,0,0
1142,3856,SLV,3,1,,150.0,0,0
1143,3855,SLV,7,1,,80.0,0,0
1144,3854,SLV,4,1,100.0,80.0,0,0
1145,3853,SLV,4,1,,200.0,0,0
1146,3852,SLV,5,1,,200.0,0,0
1147,3851,SLV,5,1,,70.0,0,1
1148,3850,SLV,4,0,,100.0,0,1
1151,3847,SLV,4,1,,1500.0,0,0
1152,3846,SLV,5,0,,450.0,0,0
1153,3845,SLV,5,1,25.0,900.0,0,0
1155,3843,SLV,5,0,,10.0,0,0
1156,3842,SLV,2,1,50.0,360.0,0,0
1157,3841,SLV,4,0,,60.0,0,0
1158,3840,SLV,4,1,,150.0,0,1
1159,3839,SLV,5,1,,30.0,0,1
1160,3838,SLV,4,1,,100.0,0,1
1161,3837,SLV,4,0,,120.0,0,1
1164,3834,SLV,6,1,10.0,250.0,0,0
1165,3833,SLV,6,0,,50.0,0,1
1166,3832,SLV,6,1,,30.0,0,0
1167,3831,SLV,1,0,,80.0,0,1
1168,3830,SLV,3,0,,250.0,0,0
1169,3829,SLV,4,0,,200.0,0,0
1170,3828,SLV,8,1,,200.0,0,0
1173,3825,SLV,5,0,,100.0,0,0
1174,3824,SLV,1,1,,80.0,0,1
1175,3823,SLV,5,0,,20.0,0,0
1176,3822,SLV,5,0,,5.0,0,0
1181,3817,SLV,4,0,,50.0,0,0
1183,3815,SLV,5,0,,30.0,0,0
1184,3814,SLV,2,0,,75.0,0,0
1185,3813,SLV,2,0,,80.0,0,0
1186,3812,SLV,4,0,,25.0,0,0
